nome,descrizione,taglie,prezzo
Camicia cotone uniforme donna,"Camicia dell%27uniforme in cotone, colore azzurro modello femminile","38__,__ 40__,__ 42__,__ 44__,__ 46__,__ 48__,__ 50__,__ 52",22.5
Camicia cotone uniforme junior,"Camicia dell%27uniforme in cotone, colore azzurro unisex","8 Anni__,__ 10 Anni__,__ 12 Anni",20.5
Camicia cotone uniforme uomo,"Camicia dell%27uniforme in cotone, colore azzurro modello maschile","XS__,__ S__,__ M__,__ L__,__ XL__,__ XXL__,__ 3XL__,__ 4XL",22.5
Fibbia scout,Fibbia in ottone vecchio,-,4.6
Gonna pantalone velluto junior,"Gonna pantalone blu, velluto a coste 100% cotone vestibilità junior","6 Anni__,__ 8 Anni__,__ 10 Anni__,__ 12 Anni__,__ 14 Anni",42.7
Maglia Polo,"Maglia azzurra tipo polo, unisex, cotone 100%","6 Anni__,__ 8 Anni__,__ 10 Anni__,__ 12 Anni__,__ XS__,__ S__,__ M__,__ L__,__ XL__,__ XXL__,__ 3XL",17.4
Maglione lana uniforme,"Maglione blu unisex, pura lana vergine","8 Anni__,__ 10 Anni__,__ 12 Anni__,__  XS__,__ S__,__ M__,__ L__,__ XL__,__ XXL__,__ 3XL__,__ 4XL",44.5
Pantalone corto velluto donna,"Pantaloni corti blu, modello femminile, velluto a coste 100% cotone","40__,__ 42__,__ 44__,__ 46__,__ 48__,__ 50__,__ 52__,__ 54__,__ 56__,__ 58__,__ 60",30.9
Pantalone corto velluto junior,"Pantaloni corti blu, unisex, velluto a coste 100% cotone modello per ragazzi","6 Anni__,__ 8 Anni__,__ 10 Anni__,__ 12 Anni__,__ 14 Anni",30.4
Pantalone corto velluto uomo,"Pantaloni corti blu, modello maschile, velluto a coste 100% cotone","42__,__ 44__,__ 46__,__ 48__,__ 50__,__ 52__,__ 54__,__ 56__,__ 58__,__ 60__,__ 62__,__ 64",30.9
Calzettoni cotone uniforme,"Calzettoni blu, unisex, in cotone 100%","38__,__ 40__,__ 42__,__ 44__,__ 46",5.5
Calzettoni lana uniforme,"Calzettoni blu, unisex, in pura lana vergine","8(31-32)__,__ 9(33-34)__,__ 10(35-36)__,__ 11(37-38)__,__ 12(39-40)__,__ 11uomo(41-42)__,__ 12uomo(43-44)__,__ 13uomo(45-46)",5.5
Berretto coccinella,"Berrettino rosso per coccinelle in cotone, regolabile","S__,__ M__,__ L",12.8
Cintura cuoio,"Cintura in cuoio, unisex (il prezzo è riferito alla cintura in cuoio esclusa la fibbia","80__,__ 90__,__ 100__,__ 110__,__ 120__,__ 130",10
Cintura scout completa,"Cintura in cuoio, unisex + fibbia in metallo","80__,__ 90__,__ 100__,__ 110__,__ 120__,__ 130",14.6
Gonna pantalone velluto,"Gonna pantalone blu, velluto a coste 100% cotone vestibilità junior","42__,__ 44__,__ 46__,__ 48__,__ 50__,__ 52__,__ 54__,__ 56__,__ 58__,__ 60__,__ 62__,__ 64",42.7
